First Two Words,Rest of Question
where do,the appalachian mountains run through?
what money,does spain use?
where was,terry waite born?
what country,did the battle of san juan hill take place?
what kind,of government does the united states have currently?
when was,the last time the orioles won the world series?
what did,shakespeare learn in grammar school?
who did,ben stiller date?
what is,the most common language in norway?
what influenced,william shakespeare to start writing?
where did,benjamin franklin went to school?
who is,the governor of arizona 2009?
what movies,has spike lee made?
what did,bernie mac died of?
what countries,does the arctic circle run through?
where is,electrolux based?
what is,houston timezone?
where do,italy people live?
where did,russians originate?
what was,shakespeare's wife called?
when did,truman become president?
what did,ferdinand magellan do?
when was,abraham lincoln declared president?
where do,burmese cats originate from?
who played,kirk?
where is,mt st helens located?
what county,is st paul minnesota in?
who was,king henry viii son?
who does,david beckham play for?
who won,the battle of gettysburg?
where was,franz ferdinand from?
what was,benedict arnold most famous for?
who plays,lex luthor on smallville?
what are,dallas cowboys colors?
what does,bentley mean?
what is,the currency of the czech republic?
when was,the last time the la kings won a playoff series?
where did,spencer pratt go to school?
what disease,did abraham lincoln had?
who is,vancouver canucks coach?
where did,cs lewis wrote?
what is,carlos pena jr nationality?
what did,thomas jefferson do before he became president?
what language,do the cheyenne speak?
who was,married to jane wyman?
who played,mickey in the rocky movies?
what language,does peru speak?
what are,some good books like looking for alaska?
where is,english spoken in the world map?
when did,arsenal won the league?
what timezone,is phoenix az in right now?
where is,south portland?
what countries,speak french as a first language?
who was,ptolemy and what did he do?
what was,the name of henry viii first wife?
where does,the parana river flow?
what is,president nixon's first name?
where did,theodor schwann get his education?
who or,what influenced frank lloyd wright?
what year,did houston rockets win their first championship?
where do,most of the people live in russia?
where is,holy roman empire located?
what movies,has liam hemsworth played in?
who plays,nicholas newman on the young and the restless?
who is,the voice of eric cartman on south park?
who is,angelina jolies brother?
where is,the headquarters of bank of america?
what type,of government japan have?
who was,king after leonidas died?
what team,does josh hamilton play for?
when was,the leafs last in the playoffs?
where is,burundi country?
when does,the world end according to the mayans time?
through which,countries of the sahel does the niger river flow?
what did,werner heisenberg discover?
what city,does paul ryan live in?
what city,is acadia university in?
what did,f. scott fitzgerald do?
what countries,does tomtom western europe include?
what is,the national language of iran?
where did,the second battle of ypres occur?
what languages,do people speak in spain?
what did,michael crabtree do?
where do,they speak afrikaans?
what 3,states border florida?
who plays,ziva david on ncis?
who ruled,after king henry viii died?
what are,some ancient egypt names?
who are,the st louis cardinals coaches?
where is,daud ibrahim?
what region,is turkey considered?
what language,do russians speak?
where was,martin luther king jr buried?
what are,the official languages of argentina?
where is,the city wales?
what country,does rafael nadal play for?
what is,the islamic belief?
who is,the prime minister of spain 2011?
who was,the son of king leonidas?
who was,judi dench married to?
how many,languages do they speak in spain?
where are,the sahara desert located?
what is,rihanna mum called?
what county,is san francisco?
when did,president theodore roosevelt take office?
who does,michael oher play for in 2010?
who or,what influenced albert einstein?
where does,egypt export to?
who did,messi have a baby with?
where is,the seat of the african union?
what was,kim richards in?
what ship,did darwin sail around the world?
where did,christopher columbus began his journey?
what artistic,style did henri rousseau work in?
what is,john edwards indicted for?
where was,huey newton killed?
when was,the printing press invented by gutenberg?
where is,midlothian scotland?
where does,marta play soccer?
where is,mitt romney's family from?
what are,john terry's children called?
what city,was michael jackson born in?
who fought,in the battle of vicksburg?
which city,is the oldest in pakistan?
what kind,of writing is nikolai gogol famous for?
what year,was first world series?
who plays,simon birch?
where are,the timezones in the usa?
what does,gm make?
what do,people speak in uk?
what do,people in jamaica speak?
what position,did lebron james play?
what was,wayne gretzky's first team?
who is,the president of peru now?
what kind,of guitar did jerry garcia play?
what type,of art leonardo da vinci do?
who are,the senators of new jersey now?
where was,rihanna raised?
what team,does messi play for 2011?
who is,moira in x men?
where does,lil wayne go to school?
what airport,is nearest to rome?
where did,jrr tolkien go to school?
what state,is saint louis university in?
what religion,does canada follow?
what factors,led to the rise of the roman empire?
which countries,have spanish as their main language?
who is,in paul ryan's family?
what government,does iraq use?
what type,of currency do they use in spain?
what did,lincoln steffens wrote?
what schools,did anders celsius attend?
what can,do in new york?
what currency,does france accept?
what type,of religion did massachusetts have?
what language,do they speak in colombia south america?
when was,the last tsunami in the atlantic ocean?
